ASL,,,,,,,,,,,,,
경기번호,구분,선수명,종족,승/패,MAP,승/패,종족,선수명,,,,,
192,,이재호,T,승,벤젠,패,P,김윤중,,,,,
193,,이재호,T,패,서킷브레이커,승,P,김승현,,,,,
194,,조기석,T,패,데미안 2,승,T,박성균,,,,,
195,,이제동,Z,패,데미안 2,승,P,도재욱,,,,,
196,,박성균,T,패,벤젠,승,P,도재욱,,,,,
197,,이제동,Z,승,벤젠,패,T,조기석,,,,,
198,,이제동,Z,승,서킷브레이커,패,T,박성균,,,,,
199,,김성현,T,승,데미안 2,패,T,유영진,,,,,
200,,김택용,P,승,데미안 2,패,Z,조일장,,,,,
201,,김택용,P,승,벤젠,패,T,김성현,,,,,
202,,유영진,T,패,벤젠,승,Z,조일장,,,,,
203,,김성현,T,패,서킷브레이커,승,Z,조일장,,,,,
204,,염보성,T,패,데미안 2,승,T,이영호,,,,,
205,,진영화,P,승,데미안 2,패,P,정윤종,,,,,
206,,진영화,P,패,벤젠,승,T,이영호,,,,,
207,,염보성,T,승,벤젠,패,P,정윤종,,,,,
208,,진영화,P,패,서킷브레이커,승,T,염보성,,,,,
209,"ASL Season 2
8강",김택용,P,패,태풍의눈,승,T,염보성,,,,,
210,,김택용,P,패,데미안 2,승,T,염보성,,,,,
211,,김택용,P,패,서킷브레이커,승,T,염보성,,,,,
212,,도재욱,P,승,서킷브레이커,패,Z,조일장,,,,,
213,,도재욱,P,승,태풍의눈,패,Z,조일장,,,,,
214,,도재욱,P,패,벤젠,승,Z,조일장,,,,,
215,,도재욱,P,승,데미안 2,패,Z,조일장,,,,,
216,,이영호,T,승,태풍의눈,패,P,김승현,,,,,
217,,이영호,T,승,서킷브레이커,패,P,김승현,,,,,
218,,이영호,T,패,데미안 2,승,P,김승현,,,,,
219,,이영호,T,승,벤젠,패,P,김승현,,,,,
220,,송병구,P,패,데미안 2,승,Z,이제동,,,,,
221,,송병구,P,패,서킷브레이커,승,Z,이제동,,,,,
222,,송병구,P,패,태풍의눈,승,Z,이제동,,,,,
223,"ASL Season 2
4강",염보성,T,승,태풍의눈,패,P,도재욱,,,,,
224,,염보성,T,패,벤젠,승,P,도재욱,,,,,
225,,염보성,T,패,서킷브레이커,승,P,도재욱,,,,,
226,,염보성,T,승,데미안 2,패,P,도재욱,,,,,
227,,염보성,T,승,태풍의눈,패,P,도재욱,,,,,
228,,이영호,T,패,태풍의눈,승,Z,이제동,,,,,
229,,이영호,T,승,서킷브레이커,패,Z,이제동,,,,,
230,,이영호,T,승,데미안 2,패,Z,이제동,,,,,
231,,이영호,T,패,벤젠,승,Z,이제동,,,,,
232,,이영호,T,승,태풍의눈,패,Z,이제동,,,,,
233,"ASL Season 2
결승",염보성,T,패,데미안 2,승,T,이영호,,,,,
234,,염보성,T,승,벤젠,패,T,이영호,,,,,
235,,염보성,T,패,서킷브레이커,승,T,이영호,,,,,
236,,염보성,T,패,태풍의눈,승,T,이영호,,,,,
237,"ASL Season 3
24강",김윤중,P,승,카멜롯,패,Z,문기호,,,,,
238,,김민철,Z,패,카멜롯,승,T,윤찬희,,,,,
239,,김윤중,P,패,서킷브레이커,승,T,윤찬희,,,,,
240,,김민철,Z,승,서킷브레이커,패,Z,문기호,,,,,
241,,김민철,Z,승,아웃사이더 SE,패,P,김윤중,,,,,
242,,김정우,Z,승,카멜롯,패,P,장윤철,,,,,
243,,이영한,Z,승,카멜롯,패,P,윤용태,,,,,
244,,이영한,Z,패,서킷브레이커,승,Z,김정우,,,,,
245,,장윤철,P,승,서킷브레이커,패,P,윤용태,,,,,
246,,이영한,Z,승,아웃사이더 SE,패,P,장윤철,,,,,
247,,김택용,P,승,카멜롯,패,P,변현제,,,,,
248,,이재호,T,패,카멜롯,승,P,김재훈,,,,,
249,,김택용,P,승,서킷브레이커,패,P,김재훈,,,,,
