"Winner","Race","Loser","Race","Map","Date","Prize","Double Chance","","","","","","","","","","","","","","","","","","",""
"송병구","P","유영진","T","déjà vu","2025-04-17","￦100,000","","","","","","","","","","","","","","","","","","","",""
"유영진","T","조일장","Z","Radeon","2025-04-26","￦100,000","","","","","","","","","","","","","","","","","","","",""
"조일장","Z","유영진","T","Metropolis","2025-04-26","￦100,000","","","","","","","","","","","","","","","","","","","",""
"유영진","T","조일장","Z","déjà vu","2025-04-26","￦100,000","","","","","","","","","","","","","","","","","","","",""
"유영진","T","조일장","Z","Eclipse","2025-04-26","￦100,000","￦100,000","","","","","","","","","","","","","","","","","","",""
"유영진","T","조일장","Z","Dominator","2025-04-26","￦100,000","","","","","","","","","","","","","","","","","","","",""
"조일장","Z","유영진","T","Metropolis","2025-04-26","￦100,000","￦100,000","","","","","","","","","","","","","","","","","","",""
"유영진","T","조일장","Z","Eclipse","2025-04-26","￦100,000","","","","","","","","","","","","","","","","","","","",""
"유영진","T","조일장","Z","Radeon","2025-04-26","￦100,000","","","","","","","","","","","","","","","","","","","",""
"유영진","T","조일장","Z","Dominator","2025-04-26","￦100,000","","","","","","","","","","","","","","","","","","","",""
"변현제","P","유영진","T","Eclipse","2025-05-09","￦100,000","","","","","","","","","","","","","","","","","","","",""
"변현제","P","유영진","T","déjà vu","2025-05-09","￦100,000","","","","","","","","","","","","","","","","","","","",""
"유영진","T","변현제","P","Pole Star","2025-05-09","￦100,000","","","","","","","","","","","","","","","","","","","",""
"변현제","P","유영진","T","Dominator","2025-05-09","￦100,000","","","","","","","","","","","","","","","","","","","",""
"변현제","P","유영진","T","Radeon","2025-05-09","￦100,000","","","","","","","","","","","","","","","","","","","",""
"유영진","T","변현제","P","Pole Star","2025-05-09","￦100,000","￦100,000","","","","","","","","","","","","","","","","","","",""
"변현제","P","유영진","T","Eclipse","2025-05-09","￦100,000","￦100,000","","","","","","","","","","","","","","","","","","",""
"유영진","T","변현제","P","déjà vu","2025-05-09","￦100,000","","","","","","","","","","","","","","","","","","","",""
"유영진","T","변현제","P","Dominator","2025-05-09","￦100,000","","","","","","","","","","","","","","","","","","","",""
"변현제","P","김명운","Z","Dominator","2025-05-11","￦100,000","","","","","","","","","","","","","","","","","","","",""
"변현제","P","김명운","Z","Metropolis","2025-05-11","￦100,000","","","","","","","","","","","","","","","","","","","",""
"변현제","P","김명운","Z","Eclipse","2025-05-11","￦100,000","","","","","","","","","","","","","","","","","","","",""
"변현제","P","김명운","Z","déjà vu","2025-05-11","￦100,000","","","","","","","","","","","","","","","","","","","",""
"변현제","P","김명운","Z","Pole Star","2025-05-11","￦100,000","","","","","","","","","","","","","","","","","","","",""
"변현제","P","김명운","Z","Dominator","2025-05-11","￦100,000","￦100,000","","","","","","","","","","","","","","","","","","",""
"변현제","P","김명운","Z","Eclipse","2025-05-11","￦100,000","￦100,000","","","","","","","","","","","","","","","","","","",""
"변현제","P","김명운","Z","Metropolis","2025-05-11","￦100,000","","","","","","","","","","","","","","","","","","","",""
"김명운","Z","변현제","P","déjà vu","2025-05-11","￦100,000","","","","","","","","","","","","","","","","","","","",""
